Movie Title,Trailer Link
Die Hard,https://www.youtube.com/watch?v=gYWvwkXreaI
Raiders of the Lost Ark,https://www.youtube.com/watch?v=0xQSIdSRlAk
Indiana Jones and the Temple of Doom,https://www.youtube.com/watch?v=WBdyLyijZhU
Indiana Jones and the Last Crusade,https://www.youtube.com/watch?v=DKg36LBVgfg
Terminator 2: Judgment Day,https://www.youtube.com/watch?v=CRRlbK5w8AE
Predator,https://www.youtube.com/watch?v=WaG1KZqrLvM
Mad Max 2,https://www.youtube.com/watch?v=XJMuhwVlca4
RoboCop,https://www.youtube.com/watch?v=UuVphAuRo7Q
Aliens,https://www.youtube.com/watch?v=oSeQQlaCZgU
Point Break,https://www.youtube.com/watch?v=ncvFAm4kYCo
The Rock,https://www.youtube.com/watch?v=a3qcNyjj9ZQ
Lethal Weapon,https://www.youtube.com/watch?v=bKeW-MGu-qQ
Speed,https://www.youtube.com/watch?v=8piqd2BWeGI
First Blood,https://www.youtube.com/watch?v=oXngES_l_HQ
Commando,https://www.youtube.com/watch?v=MgMuDs0jxCs
Total Recall,https://www.youtube.com/watch?v=GljhR5rk5eY
Die Hard with a Vengeance,https://www.youtube.com/watch?v=i5asAs5HQkQ
Con Air,https://www.youtube.com/watch?v=Olvpk5BXWCI
Face/Off,https://www.youtube.com/watch?v=S-nDX0BeFoQ
True Lies,https://www.youtube.com/watch?v=3B7HG8_xbDw
Big Trouble in Little China,https://www.youtube.com/watch?v=AXsBBqPb5YE
Last Action Hero,https://www.youtube.com/watch?v=ShBw43KJoLk
They Live,https://www.youtube.com/watch?v=zLQ2d89vCiw
The Terminator,https://www.youtube.com/watch?v=k64P4l2Wmeg
The Matrix,https://www.youtube.com/watch?v=9ix7TUGVYIo
Rambo: First Blood Part II,https://www.youtube.com/watch?v=WQGJAIYtWD4
The Mummy,https://www.youtube.com/watch?v=IjHgzkQM2Sg
The Running Man,https://www.youtube.com/watch?v=n74ibtuN9I4
The Last Boy Scout,https://www.youtube.com/watch?v=8TvUwc-b0rI
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.youtube.com/watch?v=naQr0uTrH_s
The Dark Knight,https://www.youtube.com/watch?v=EXeTwQWrcwY
Tango & Cash,https://www.youtube.com/watch?v=DoacpCpBptU
Casino Royale,https://www.youtube.com/watch?v=36mnx8dBbGE
Mad Max: Fury Road,https://www.youtube.com/watch?v=hEJnMQG9ev8
The Bourne Identity,https://www.youtube.com/watch?v=FpKaB5dvQ4g
The Bourne Supremacy,https://www.youtube.com/watch?v=Y-HqyyfBbSo
The Bourne Ultimatum,https://www.youtube.com/watch?v=ZT2ZxjUjSo0
Kill Bill: Vol. 2,https://www.youtube.com/watch?v=WTt8cCIvGYI
Kill Bill: Vol. 1,https://www.youtube.com/watch?v=7kSuas6mRpk
Skyfall,https://www.youtube.com/watch?v=6kw1UVovByw
John Wick,https://www.youtube.com/watch?v=C0BMx-qxsP4
John Wick: Chapter 2,https://www.youtube.com/watch?v=XGk2EfbD_Ps
John Wick: Chapter 3 - Parabellum,https://www.youtube.com/watch?v=M7XM597XO94
Mission: Impossible - Ghost Protocol,https://www.youtube.com/watch?v=7wkih9Yvxq0
Serbuan maut,https://www.youtube.com/watch?v=m6Q7KnXpNOg
Serbuan maut 2: Berandal,https://www.youtube.com/watch?v=MG9uFX3uYq4
Taken,https://www.youtube.com/watch?v=XK9zL0ze9O4
Inception,https://www.youtube.com/watch?v=YoHD9XEInc0
Top Gun: Maverick,https://www.youtube.com/watch?v=giXco2jaZ_4
Top Gun,https://www.youtube.com/watch?v=giXco2jaZ_4
Léon,https://www.youtube.com/watch?v=aNQqoExfQsg
Heat,https://www.youtube.com/watch?v=0xbBLJ1WGwQ
The Fugitive,https://www.youtube.com/watch?v=OlYsVq6FpuU
Under Siege,https://www.youtube.com/watch?v=Rl8pTF4f3Jg
Cliffhanger,https://www.youtube.com/watch?v=c55DDQT8zDA
Demolition Man,https://www.youtube.com/watch?v=0B5v6QZ5R3g
Independence Day,https://www.youtube.com/watch?v=B1E7h3SeMDk
The Long Kiss Goodnight,https://www.youtube.com/watch?v=oDuma1M09B0
Armageddon,https://www.youtube.com/watch?v=8-8eEniEfgU
Air Force One,https://www.youtube.com/watch?v=FItgZOuaPVY
Red Heat,https://www.youtube.com/watch?v=N1m5nHD7iMk
Timecop,https://www.youtube.com/watch?v=VYw_24STp8o
Bloodsport,https://www.youtube.com/watch?v=bCZ1CIQ64YQ
Cobra,https://www.youtube.com/watch?v=HsAhxHWqYwM
The Delta Force,https://www.youtube.com/watch?v=eEqj2cBYUAo
Lat sau san taam,https://www.youtube.com/watch?v=SqMPzcGQJzA
Ying hung boon sik,https://www.youtube.com/watch?v=1zpjWb8vFFE
Dip huet seung hung,https://www.youtube.com/watch?v=OXF0R4dcU5Y
Wo hu cang long,https://www.youtube.com/watch?v=-jTdOdcMKoY
Jui kuen II,https://www.youtube.com/watch?v=aFGEZatgWrY
Hung fan kui,https://www.youtube.com/watch?v=itJ2hdiZ2jw
Ong-Bak,https://www.youtube.com/watch?v=nAYUv9wjV48
Meng long guo jiang,https://www.youtube.com/watch?v=Gidj6fbek00
Road House,https://www.youtube.com/watch?v=YH3BMICpXyA
Enter the Dragon,https://www.youtube.com/watch?v=5RGju9NuoOU
Jing wu men,https://www.youtube.com/watch?v=uWeT0ja7Icw
The Warriors,https://www.youtube.com/watch?v=pr7Vgw2UTOo
Assault on Precinct 13,https://www.youtube.com/watch?v=7wnAjYDVObs
Escape from New York,https://www.youtube.com/watch?v=10OoccK7dIw
Bullitt,https://www.youtube.com/watch?v=BsvD806qNM8
Goldfinger,https://www.youtube.com/watch?v=MA65V-oLKa8
Desperado,https://www.youtube.com/watch?v=G3_vC5kSU6A
Beverly Hills Cop,https://www.youtube.com/watch?v=qBG3iyr5N70
48 Hrs.,https://www.youtube.com/watch?v=GgOFrVID_CU
Highlander,https://www.youtube.com/watch?v=vT13a8KzBRM
Die Hard 2,https://www.youtube.com/watch?v=CvHp7xJZ4_U
Atomic Blonde,https://www.youtube.com/watch?v=JIqcMl0hzXs
Upgrade,https://www.youtube.com/watch?v=36PDeN9NRZ0
Mission: Impossible - Rogue Nation,https://www.youtube.com/watch?v=gOW_azQbOjw
Mission: Impossible - Fallout,https://www.youtube.com/watch?v=XiHiW4N7-bo
Dredd,https://www.youtube.com/watch?v=G-eI5oLlIeY
Kingsman: The Secret Service,https://www.youtube.com/watch?v=m4NCribDx4U
300,https://www.youtube.com/watch?v=UrIbxk7idYA
Fast Five,https://www.youtube.com/watch?v=vcn2GOuZCKI
Crank,https://www.youtube.com/watch?v=t2koYVqwzT4
The Transporter,https://www.youtube.com/watch?v=7FnbLyv2oio
Bad Boys II,
Snowpiercer,
Where Eagles Dare,https://www.youtube.com/watch?v=khIZwbXDF0o
The Dirty Dozen,
