Movie Title,Trailer Link
Dumb and Dumber,https://www.youtube.com/watch?v=l13yPhimE3o
Caddyshack,https://www.youtube.com/watch?v=x9Nl39uWEYk
National Lampoon's Christmas Vacation,https://www.youtube.com/watch?v=NBTTipJX-h4
National Lampoon's Animal House,https://www.youtube.com/watch?v=KWjtI6n5xWM
Revenge of the Nerds,https://www.youtube.com/watch?v=kIZH5TKnEeg
Billy Madison,https://www.youtube.com/watch?v=V2Q40rXJuMU
The Naked Gun: From the Files of Police Squad!,https://www.youtube.com/watch?v=du4zCR3xNxQ
Airplane!,https://www.youtube.com/watch?v=07pPmCfKi3U
Happy Gilmore,https://www.youtube.com/watch?v=y1emDAYCfVQ
Ace Ventura: When Nature Calls,https://www.youtube.com/watch?v=T8aos7_L4kA
Bachelor Party,https://www.youtube.com/watch?v=xos39ENywvY
Clerks,https://www.youtube.com/watch?v=Mlfn5n-E2WE
Alferd Packer: The Musical,https://www.youtube.com/watch?v=8GszhYsV3MM
Bad Santa,https://www.youtube.com/watch?v=cvXyEiIoH2c
Porky's,https://www.youtube.com/watch?v=QWmtDAIK03M
Tommy Boy,https://www.youtube.com/watch?v=9btKFrFhq28
Spaceballs,https://www.youtube.com/watch?v=RK0yd4LtLdg
Monty Python and the Holy Grail,https://www.youtube.com/watch?v=4b52A3sKz-I
Say It Isn't So,https://www.youtube.com/watch?v=MUNSzbk8Duw
There's Something About Mary,https://www.youtube.com/watch?v=503D8hOfE_8
Mallrats,https://www.youtube.com/watch?v=toFqw3d7TlA
Road Trip,https://www.youtube.com/watch?v=ndri5CeMjI4
Step Brothers,https://www.youtube.com/watch?v=CewglxElBK0
Scary Movie,https://www.youtube.com/watch?v=HTLPULt0eJ4
"Me, Myself & Irene",https://www.youtube.com/watch?v=JABG7viqJWc
The Goonies,https://www.youtube.com/watch?v=lYLAGAwcpSQ
Coneheads,https://www.youtube.com/watch?v=j15rPm4i-t8
Super Troopers,https://www.youtube.com/watch?v=EV6wkUIMrl8
Team America: World Police,https://www.youtube.com/watch?v=kMyJWuvW_9k
Strange Wilderness,https://www.youtube.com/watch?v=ZKyowLXH8sk
The Great Outdoors,https://www.youtube.com/watch?v=j27Cpm3sVVk
Fast Times at Ridgemont High,https://www.youtube.com/watch?v=vzva_I8WPAg
Office Space,https://www.youtube.com/watch?v=3_fG_zLbBeU
Son in Law,https://www.youtube.com/watch?v=3wo6wxKUbmA
The 40 Year Old Virgin,https://www.youtube.com/watch?v=YnDeJn-BX5Q
The Hangover,https://www.youtube.com/watch?v=tlize92ffnY
Police Academy,https://www.youtube.com/watch?v=4NT4C1F_HZE
Saving Silverman,https://www.youtube.com/watch?v=pcUE7DtW7hw
Ferris Bueller's Day Off,https://www.youtube.com/watch?v=0ZDbKhkLxTs
Mrs. Doubtfire,https://www.youtube.com/watch?v=3euGQ7-brs4
Bill & Ted's Excellent Adventure,https://www.youtube.com/watch?v=q3fx6TugN7g
Ghostbusters,https://www.youtube.com/watch?v=w3ugHP-yZXw
Old School,https://www.youtube.com/watch?v=HNyxTUX-9_U
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,https://www.youtube.com/watch?v=vlnUa_dNsRQ
Rat Race,https://www.youtube.com/watch?v=ekqud8M4xLk
The 'Burbs,https://www.youtube.com/watch?v=pyRUijyrXr4
Better Off Dead...,https://www.youtube.com/watch?v=NdSavg_i_lw
One Crazy Summer,https://www.youtube.com/watch?v=araGhvv2IDg
The Mask,https://www.youtube.com/watch?v=LZl69yk5lEY
Encino Man,https://www.youtube.com/watch?v=1xkTN1Z1rTQ
Freddy Got Fingered,https://www.youtube.com/watch?v=raLEbdAVYaM
Mr. Deeds,https://www.youtube.com/watch?v=ASw47FiEhes
Big Daddy,https://www.youtube.com/watch?v=jxnccxgybUI
Born in East L.A.,https://www.youtube.com/watch?v=-2gIwHq_d3w
Beavis and Butt-Head Do America,https://www.youtube.com/watch?v=jRnVQ4NBXko
EuroTrip,https://www.youtube.com/watch?v=yZSoJtFxP4A
The Heartbreak Kid,https://www.youtube.com/watch?v=ON1-SohDqDg
BASEketball,https://www.youtube.com/watch?v=s3ieUp88iL8
Weekend at Bernie's,https://www.youtube.com/watch?v=YCTgcZ6ImsQ
Jekyll and Hyde... Together Again,https://www.youtube.com/watch?v=t4zzteKrwXs
