Movie Title,Trailer Link
The Notebook,https://www.youtube.com/watch?v=BjJcYdEOI0k
P.S. I Love You,https://www.youtube.com/watch?v=CZzW6_hR068
Dangerous Beauty,https://www.youtube.com/watch?v=n_g4qspx3es
Mamma Mia!,https://www.youtube.com/watch?v=8RBNHdG35WY
Avatar,https://www.youtube.com/watch?v=5PSNL1qE6VY
Beastly,https://www.youtube.com/watch?v=aUpUPahUeX4
Shakespeare in Love,https://www.youtube.com/watch?v=v5R5La5f3eo
Notting Hill,https://www.youtube.com/watch?v=4RI0QvaGoiI
A Walk to Remember,https://www.youtube.com/watch?v=k3B2XBcp7vA
Memoirs of a Geisha,https://www.youtube.com/watch?v=4L-xlmakQvc
Desert Flower,https://www.youtube.com/watch?v=S_JuHYX_7Fc
Letters to Juliet,https://www.youtube.com/watch?v=8j0qMY-LeKM
The Bodyguard,https://www.youtube.com/watch?v=4JFRdJTszRM
Dear John,https://www.youtube.com/watch?v=r0fq5dd0C60
Twilight,https://www.youtube.com/watch?v=QDRLSqm_WVg
City of Angels,https://www.youtube.com/watch?v=wCrcDidiGJs
Gone with the Wind,https://www.youtube.com/watch?v=0X94oZgJis4
The Ugly Truth,https://www.youtube.com/watch?v=DvsZtGxsvV0
Sleepless in Seattle,https://www.youtube.com/watch?v=ahI9LaOGYcE
10 Things I Hate About You,https://www.youtube.com/watch?v=uE7qjQlfoRs
Autumn in New York,https://www.youtube.com/watch?v=bHLmKfLabF0
Four Weddings and a Funeral,https://www.youtube.com/watch?v=g-HeV8Z6iXc
Kama Sutra: A Tale of Love,https://www.youtube.com/watch?v=FcxX3zDmpOI
You've Got Mail,https://www.youtube.com/watch?v=bjP4s7UUnK8
How to Lose a Guy in 10 Days,https://www.youtube.com/watch?v=2ZMGk_Ml1fc
Dirty Dancing,https://www.youtube.com/watch?v=eIcmQNy9FsM
Titanic,https://www.youtube.com/watch?v=kVrqfYjkTdQ
Runaway Bride,https://www.youtube.com/watch?v=pOmwh43Kr34
The Wedding Planner,https://www.youtube.com/watch?v=Ai7N3IhM0YU
Pretty Woman,https://www.youtube.com/watch?v=2EBAVoN8L_U
When a Man Loves a Woman,https://www.youtube.com/watch?v=fk-qz0zdYwU
Ghosts of Girlfriends Past,https://www.youtube.com/watch?v=LUUIY7Fnzts
The Accidental Husband,https://www.youtube.com/watch?v=P_znsXp0j5o
Message in a Bottle,https://www.youtube.com/watch?v=Ur9xLzOJNIs
Anna and the King,https://www.youtube.com/watch?v=I6cF4_502aw
50 First Dates,https://www.youtube.com/watch?v=Q_2AbjYeSMI
Wimbledon,https://www.youtube.com/watch?v=0fKtglMo5qw
No Reservations,https://www.youtube.com/watch?v=APNTQlcbNAI
While You Were Sleeping,https://www.youtube.com/watch?v=nsJxyUvkB_E
Casablanca,https://www.youtube.com/watch?v=MF7JH_54d8c
The Bridges of Madison County,https://www.youtube.com/watch?v=Up-oN4NtvbM
Moulin Rouge!,https://www.youtube.com/watch?v=2PpgPxjzbkA
Serendipity,https://www.youtube.com/watch?v=ePU2Ux9JIMM
What Women Want,https://www.youtube.com/watch?v=zZKAA5DRF4A
A Lot Like Love,https://www.youtube.com/watch?v=MRPr34vEbC8
The Wedding Date,https://www.youtube.com/watch?v=DS1bOLtMNfc
27 Dresses,https://www.youtube.com/watch?v=J9DzAjOe7sY
When in Rome,https://www.youtube.com/watch?v=5oImkzL6o_o
Music and Lyrics,https://www.youtube.com/watch?v=4C6sSZlVKZE
What Happens in Vegas,https://www.youtube.com/watch?v=UqXBQaKrvPg
Armageddon,https://www.youtube.com/watch?v=8-8eEniEfgU
The English Patient,https://www.youtube.com/watch?v=Xk_LRcOFT0c
When Harry Met Sally...,https://www.youtube.com/watch?v=-E10AcydCuk
Unfaithful,https://www.youtube.com/watch?v=bMfkY9fAOCc
Shall We Dance?,https://www.youtube.com/watch?v=y-A64ctS2Cc
At First Sight,https://www.youtube.com/watch?v=wvI4HvGvHyA
Scent of a Woman,https://www.youtube.com/watch?v=losLAzU9YCk
The Holiday,https://www.youtube.com/watch?v=wk9caHO3pW0
Chocolat,https://www.youtube.com/watch?v=32x33l2sLe8
Bed of Roses,https://www.youtube.com/watch?v=GJ6-ymSjShg
Don Juan DeMarco,https://www.youtube.com/watch?v=AteQZ7q6rtA
Sweet November,https://www.youtube.com/watch?v=UkeShaz9dfk
Maid in Manhattan,https://www.youtube.com/watch?v=7r_1rDfQfrg
Dance with Me,https://www.youtube.com/watch?v=s9-9uvi1iQ0
Sliding Doors,https://www.youtube.com/watch?v=Da-Mizk86AE
My Big Fat Greek Wedding,https://www.youtube.com/watch?v=dZmrMJmAfF0
Nights in Rodanthe,https://www.youtube.com/watch?v=6_r1Y6zgCSg
Save the Last Dance,https://www.youtube.com/watch?v=cm-tgph1IQw
Sweet Home Alabama,https://www.youtube.com/watch?v=E2ySMc4iT04
I.Q.,https://www.youtube.com/watch?v=ihhHk6awueU
40 Days and 40 Nights,https://www.youtube.com/watch?v=oMDXmDOyWE8
Pearl Harbor,https://www.youtube.com/watch?v=oGYcxjywx0o
If Only,https://www.youtube.com/watch?v=ku-XCuO26xU
The Next Best Thing,https://www.youtube.com/watch?v=IqtFMaO-cZs
Mona Lisa Smile,https://www.youtube.com/watch?v=VqexVyd_ybI
Because I Said So,https://www.youtube.com/watch?v=aUE8gHEPJ_I
Made of Honor,https://www.youtube.com/watch?v=XFQN3biQ4x8
Indecent Proposal,https://www.youtube.com/watch?v=Ad98qFf7PTE
My Best Friend's Wedding,https://www.youtube.com/watch?v=7gRQFgdtAXs
Legends of the Fall,https://www.youtube.com/watch?v=QmfxbiMbASI
Wedding Crashers,https://www.youtube.com/watch?v=GnD48PD84-8
Salsa,https://www.youtube.com/watch?v=7RInN6TLhz4
The Cutting Edge,https://www.youtube.com/watch?v=0jvRfLOVfeY
The Lake House,https://www.youtube.com/watch?v=fQ5lPbssHS8
Fools Rush In,https://www.youtube.com/watch?v=hLKa24D1KUk
Australia,https://www.youtube.com/watch?v=mfI4hK9I2k0
Good Luck Chuck,https://www.youtube.com/watch?v=Mfd-BbBsGM4
Knocked Up,https://www.youtube.com/watch?v=cv01Mcdf8rI
13 Going on 30,https://www.youtube.com/watch?v=5UrCaXLBN30
The Proposal,https://www.youtube.com/watch?v=Z2lYA7L7PZY
Last Holiday,https://www.youtube.com/watch?v=JO0NSRPcPFs
Down with Love,https://www.youtube.com/watch?v=2wzS37O7m-E
My Life in Ruins,https://www.youtube.com/watch?v=AkRMBRxC_Gk
Bride & Prejudice,https://www.youtube.com/watch?v=53W6yV7i5zo
The Last Song,https://www.youtube.com/watch?v=l6Q07mI1EUc
Becoming Jane,https://www.youtube.com/watch?v=qmd-ej9Hx20
The Back-up Plan,https://www.youtube.com/watch?v=cut4IW0oz1w
Remember Me,https://www.youtube.com/watch?v=iFFas72-dTY
I Hate Valentine's Day,https://www.youtube.com/watch?v=C8qAGZ4nTFs
Enchanted,https://www.youtube.com/watch?v=IJwUFq8uOr0
